Lineto,Blank,Linevia,Operatorna,Routepathd
Glen Waverley, ,Wheelers Hill,Ventura Bus Lines,754out_1
Glen Waverley, ,Wheelers Hill,Ventura Bus Lines,754out_2
Bayswater, ,Boronia > The Basin,Ventura Bus Lines,755in
Nyora Road, ,,Panorama,582out
St Kilda Station, ,Sandringham,Transdev,600in
Southland Shopping Centre, ,Sandringham,Transdev,600out
Monash University (Clayton), ,,Eastrans,601in
Huntingdale Station, ,,Eastrans,601out
City, ,Kooyong Rd,Eastrans,605in
Gardenvale, ,Kooyong Rd,Eastrans,605out
Elsternwick Station, ,Port Melbourne,CDC Melbourne (Altona),606in
City (King/Lonsdale Sts), ,The Pines SC,Transdev,906in
Warrandyte, ,The Pines SC,Transdev,906out
Warrandyte, ,The Pines SC,Transdev,906out_1
City (King/Lonsdale Sts), ,Doncaster Rd > Eastern Fwy,Transdev,907in
Mitcham, ,Eastern Fwy > Doncaster Rd,Transdev,907out
Mitcham, ,Eastern Fwy > Doncaster Rd,Transdev,907out_1
Olinda, ,Monbulk Rd,Ventura Bus Lines,696out
Belgrave, ,Belgrave Heights,Ventura (Monbulk),697in_1
Belgrave, ,Belgrave Heights,Ventura (Monbulk),697in_2
Belgrave, ,Belgrave Heights,Ventura (Monbulk),697in_3
Belgrave South, ,Belgrave Heights,Ventura (Monbulk),697out_1
Belgrave South, ,Belgrave Heights,Ventura (Monbulk),697out_2
Belgrave South, ,Belgrave Heights,Ventura (Monbulk),697out_3
Belgrave, ,Glenfern Rd,Ventura (Monbulk),699in_1
Belgrave, ,Glenfern Rd,Ventura (Monbulk),699in_1E
Bayswater, ,Boronia > The Basin,Ventura Bus Lines,755in_1
Bayswater, ,Boronia > The Basin,Ventura Bus Lines,755in_2
Knox City SC, ,The Basin > Boronia,Ventura Bus Lines,755out
Knox City SC, ,The Basin > Boronia,Ventura Bus Lines,755out_1
Knox City SC, ,The Basin > Boronia,Ventura Bus Lines,755out_2
Knox City SC, ,Old Orchard Dr,Ventura Bus Lines,757in
Elsternwick Station, ,Port Melbourne,CDC Melbourne (Altona),606in_1
Fishermans Bend, ,Port Melbourne,CDC Melbourne (Altona),606out
Fishermans Bend, ,Port Melbourne,CDC Melbourne (Altona),606out_1
Fairfield, ,Kew > Royal Talbot,Dysons,609in
Chirnside Park SC, ,Wonga Park,Ventura (Lilydale),672out_2
Lillydale Lake, ,Anderson St,Ventura (Lilydale),673
Chirnside Park SC, ,Manchester Rd,Ventura (Lilydale),675i_pb1
Mooroolbark, ,Manchester Rd,Ventura (Lilydale),675o_pb2
Lilydale, ,Lilydale East,Ventura (Lilydale),676pb12
Lilydale, ,The Gateway,Ventura (Lilydale),677i_pb1
City (King/Lonsdale Sts), ,Eastern Fwy,Transdev,908in
The Pines SC, ,Eastern Fwy,Transdev,908out
The Pines SC, ,Eastern Fwy,Transdev,908out_1
St Kilda Station, ,Sandringham,Transdev,922in
Southland Shopping Centre, ,Sandringham,Transdev,922out
Pearcedale, ,Baxter,Ventura (Seaford),776outPM
Karingal  SC, ,Langwarrin,Ventura (Seaford),777in
McClelland Drive, ,Langwarrin,Ventura (Seaford),777out
Kananook Station, ,Brunel Rd,Ventura (Seaford),778in
Carrum Downs, ,Brunel Rd,Ventura (Seaford),778out
Frankston, ,Kananook Station,Ventura (Seaford),779in
Belvedere, ,Kananook Station,Ventura (Seaford),779out
Beaconsfield East, ,Brisbane St > Beaconsfield Plaza SC,Ventura (Pakenham),837out
Fountain Gate SC, ,Beaconsfield > Berwick,Ventura (Pakenham),838in
Emerald, ,Beaconsfield > Berwick,Ventura (Pakenham),838out
Scoresby, ,Old Orchard Dr,Ventura Bus Lines,757out
Somerset Estate, ,Camp Rd,Dysons,538in
Broadmeadows, ,Camp Rd,Dysons,538out
Broadmeadows, ,Coolaroo,Dysons,540in
Upfield, ,Coolaroo,Dysons,540out
Broadmeadows Station, ,,Dysons,541in
Roxburgh Park, ,,Dysons,541out
Oakleigh, ,Chadstone SC,CDC Eastrans,624out_3
Oakleigh, ,Chadstone SC,CDC Eastrans,624out_4
Elsternwick, ,Oakleigh > Ormond,CDC Eastrans,625in
Chadstone SC, ,Ormond > Oakleigh,CDC Eastrans,625out
Middle Brighton, ,Oakleigh > McKinnon,CDC Eastrans,626in
Chadstone SC, ,McKinnon > Oakleigh,CDC Eastrans,626out
Elwood, ,Ormond,Eastrans,630in
St Kilda Station, ,Sandringham,Transdev,923in
Southland Shopping Centre, ,Sandringham,Transdev,923out
Pakenham Station, ,The Avenue,Ventura (Pakenham),925in
Lakeside, ,The Avenue,Ventura (Pakenham),925out
Fountain Gate SC, ,Lakeside > Beaconsfield,Ventura (Pakenham),926in
Pakenham Station, ,Beaconsfield > Lakeside,Ventura (Pakenham),926out
Berwick Station, ,Telford Dr > Whistler Dr,Ventura (Pakenham),839in
North Berwick, ,Telford Dr > Whistler Dr,Ventura (Pakenham),839out
Pakenham, ,Pakenham Upper,Ventura (Pakenham),840in
Gembrook, ,Pakenham Upper,Ventura (Pakenham),840out
Narre Warren North, ,Fountain Gate SC,Ventura (Pakenham),841in
Cranbourne, ,Fountain Gate SC,Ventura (Pakenham),841out
Pascoe Vale, ,Broadmeadows,Dysons,542in
Roxburgh Park, ,Broadmeadows,Dysons,542out
Roxburgh Park, ,,Tullamarine Bus Lines,543in
Greenvale Gardens, ,,Tullamarine Bus Lines,543out
Craigieburn, ,,Broadmeadows Bus Service,544in
Roxburgh Park, ,,Broadmeadows Bus Service,544out
Monash University, ,Ormond,Eastrans,630out
Southland SC, ,Monash University,Ventura (Cheltenham),631in
Waverley Gardens SC, ,Monash University,Ventura (Cheltenham),631out
Lilydale, ,Monbulk,Ventura (Lilydale),663i_1
Lilydale, ,Monbulk,Ventura (Lilydale),663i_2
Lilydale, ,Monbulk,Ventura (Lilydale),663i_3
Belgrave, ,Monbulk,Ventura (Lilydale),663o_4
Pakenham Station, ,Beaconsfield > Lakeside,Ventura (Pakenham),926out_1
Pakenham Station, ,Beaconsfield > Lakeside,Ventura (Pakenham),926out_2
Vermont East, ,Churinga Av,Ventura Bus Lines,740out
Vermont East, ,Churinga Av,Ventura Bus Lines,740out_1
Box Hill, ,Monash University,Ventura Bus Lines,733out
Glen Iris, ,Ashwood,Ventura Bus Lines,734in
Glen Waverley, ,Ashwood,Ventura Bus Lines,734out
Box Hill, ,Burwood East,Ventura Bus Lines,735in
Dandenong, ,Gleneagles Dr,Ventura (Dandenong),849in
Mossgiel Park, ,Gleneagles Dr,Ventura (Dandenong),849out
Dandenong, ,Waverley Gardens SC,Ventura (Dandenong),850in
Glen Waverley, ,Waverley Gardens SC,Ventura (Dandenong),850out
Dandenong, ,Patterson Lakes,Ventura (Dandenong),857in_1
Heidelberg, ,Clifton Hill,Dysons,546in
Heidelberg, ,Clifton Hill,Dysons,546in_1
Melbourne University, ,Clifton Hill,Dysons,546out
La Trobe University, ,Ivanhoe,Ventura (Ivanhoe),548in_1
La Trobe University, ,Ivanhoe,Ventura (Ivanhoe),548in_2
Kew, ,Ivanhoe,Ventura (Ivanhoe),548out_1
Knox City SC, ,Bayswater,Ventura (Lilydale),664i_14
Knox City SC, ,Bayswater,Ventura (Lilydale),664i_3
Knox City SC, ,Bayswater,Ventura (Lilydale),664i_4
Knox City SC, ,Bayswater,Ventura (Lilydale),664i_6
Knox City SC, ,Bayswater,Ventura (Lilydale),664i_7
Knox City SC, ,Bayswater,Ventura (Lilydale),664i_8
Chirnside Park SC, ,Bayswater,Ventura (Lilydale),664o_1
Chirnside Park SC, ,Bayswater,Ventura (Lilydale),664o_10
Box Hill, ,Burwood East,Ventura Bus Lines,735in_1
Southland SC, ,Heatherton,Ventura (Cheltenham),821in
Southland SC, ,Heatherton,Ventura (Cheltenham),821in_1
Clayton, ,Heatherton,Ventura (Cheltenham),821out
Chadstone SC, ,Southland SC,Ventura (Cheltenham),822in
Sandringham, ,Southland SC,Ventura (Cheltenham),822out
North Brighton, ,Moorabbin,Ventura (Cheltenham),823in
Southland SC, ,Moorabbin,Ventura (Cheltenham),823out
Middle Brighton, ,Monash University,SmartBus Ventura,703in_1s
Middle Brighton, ,Monash University,SmartBus Ventura,703in_1s1
Middle Brighton, ,Monash University,SmartBus Ventura,703in_2
Middle Brighton, ,Monash University,SmartBus Ventura,703in_2s
Middle Brighton, ,Monash University,SmartBus Ventura,703in_3s
Safety Beach, ,Rosebud,Ventura (Rosebud),Z787out_2_T
Frankston, ,Rosebud,Ventura (Rosebud),788in
Portsea, ,Rosebud,Ventura (Rosebud),788out
Frankston Station, ,Langwarrin North,Cranbourne Transit,789in
Kew, ,Ivanhoe,Ventura (Ivanhoe),548out_2
Northland SC, ,Oriel Rd,Ventura (Ivanhoe),549in
Ivanhoe, ,Oriel Rd,Ventura (Ivanhoe),549out
La Trobe University, ,Waterdale Rd,Ventura (Ivanhoe),550in
Northland SC, ,Waterdale Rd,Ventura (Ivanhoe),550out
La Trobe University, ,Upper Heidelberg Rd,Ventura (Ivanhoe),551in
Heidelberg, ,Upper Heidelberg Rd,Ventura (Ivanhoe),551out
Northcote Plaza, ,High St,Dysons,552in
North East Reservoir, ,High St,Dysons,552out
Preston, ,Reservoir,Dysons,553in
Preston, ,Reservoir,Dysons,553in_1
Chirnside Park SC, ,Bayswater,Ventura (Lilydale),664o_2
Chirnside Park SC, ,Bayswater,Ventura (Lilydale),664o_5
Chirnside Park SC, ,Bayswater,Ventura (Lilydale),664o_9
Ringwood, ,Maroondah Hwy,Ventura (Lilydale),670in
Lilydale, ,Maroondah Hwy,Ventura (Lilydale),670out
Croydon, ,Warrien Rd,Ventura (Lilydale),671i_2
Chirnside Park SC, ,Warrien Rd,Ventura (Lilydale),671o_1
Moorabbin, ,Westall,Ventura (Cheltenham),824in
Keysborough, ,Westall,Ventura (Cheltenham),824out
Moorabbin, ,Black Rock,Ventura (Cheltenham),825in
Southland SC, ,Black Rock,Ventura (Cheltenham),825out
Hampton Station, ,Dandenong,Ventura (Cheltenham),828in
Berwick Station, ,Dandenong,Ventura (Cheltenham),828out
Narre Warren South, ,Narre Warren Station,Cranbourne Transit,895out
Narre Warren South, ,Narre Warren Station,Cranbourne Transit,895out_1
Frankston, ,Mornington,Ventura (Seaford),781in
Mt Martha, ,Mornington,Ventura (Seaford),781out
Frankston, ,Hastings,Ventura (Seaford),782in
Flinders, ,Hastings,Ventura (Seaford),782out
Frankston, ,Somerville,Ventura (Seaford),783in
Hastings, ,Somerville,Ventura (Seaford),783out
Frankston, ,Mornington,Ventura (Seaford),784in
Reservoir, ,North West Reservoir,Dysons,558pm_1
Reservoir, ,North West Reservoir,Dysons,558pm_2
Thomastown Station, ,,Dysons,559
Thomastown Station, ,,Dysons,559_1
Pascoe Vale, ,La Trobe University,Dysons,561in
Macleod, ,La Trobe University,Dysons,561out
Croydon, ,Wonga Park,Ventura (Lilydale),672in_3
Chirnside Park SC, ,Wonga Park,Ventura (Lilydale),672out_1
Croydon Station, ,Hull Rd,Ventura Bus Lines,689in
Montrose, ,Hull Rd,Ventura Bus Lines,689out
Croydon, ,Kilsyth,Ventura Bus Lines,690in
Boronia, ,Kilsyth,Ventura Bus Lines,690out
Lynbrook Station, ,Cranbourne,Cranbourne Transit,897in
Clyde, ,Cranbourne,Cranbourne Transit,897out
Cranbourne Station, ,,Cranbourne Transit,898in
Cranbourne East, ,,Cranbourne Transit,898out
Berwick Station, ,Eden Rise SC,Ventura (Pakenham),899in
The Avenue Village SC, ,Eden Rise SC,Ventura (Pakenham),899out
Frankston Station, ,Langwarrin North,Cranbourne Transit,789in_1
Langwarrin, ,Langwarrin North,Cranbourne Transit,789out
Frankston Station, ,Langwarrin South,Cranbourne Transit,790in
Chelsea, ,Patterson Lakes,Ventura (Dandenong),857out_4
Chelsea, ,Patterson Lakes,Ventura (Dandenong),857out_5
Edithvale, ,Chelsea,Ventura (Dandenong),858in
Aspendale Gardens, ,Chelsea,Ventura (Dandenong),858out
Dandenong, ,John Mitchell Dr,Ventura (Dandenong),861in
Dandenong, ,John Mitchell Dr,Ventura (Dandenong),861in_1
Macleod, ,La Trobe University,Dysons,561out_1
Bundoora RMIT, ,Roycroft Av,Dysons,564in
South Morang Station, ,Roycroft Av,Dysons,564out
Northland SC, ,Greensborough,Dysons,566in
Northland SC, ,Greensborough,Dysons,566in_1
Lalor, ,Greensborough,Dysons,566out
Regent, ,Northland SC,Dysons,567in
Northcote, ,Northland SC,Dysons,567out
South Morang Station, ,,Dysons,569in
Waverley Gardens SC, ,Ferntree Gully,Ventura (Lilydale),691i_1
Waverley Gardens SC, ,Ferntree Gully,Ventura (Lilydale),691i_11
Waverley Gardens SC, ,Ferntree Gully,Ventura (Lilydale),691i_3
Boronia, ,Ferntree Gully,Ventura (Lilydale),691o_12
Caulfield, ,Chadstone SC,"CDC, Ventura",900in
Caulfield, ,Chadstone SC,"CDC, Ventura",900in_1
Stud Park SC, ,Chadstone SC,"CDC, Ventura",900out
Melbourne Airport, ,,Transdev,901in
Frankston, ,,Transdev,901out
Nunawading, ,Burwood East,Ventura Bus Lines,735out
Nunawading, ,Burwood East,Ventura Bus Lines,735out_1
Mitcham, ,Glen Waverley,Ventura Bus Lines,736in
Fountain Gate SC, ,Narre Warren North,Ventura (Pakenham),842in
Endeavour Hills SC, ,Narre Warren North,Ventura (Pakenham),842out
Dandenong Station, ,Endeavour Hills SC,Ventura (Dandenong),843in
Endeavour Hills, ,Endeavour Hills SC,Ventura (Dandenong),843out
Endeavour Hills, ,Endeavour Hills SC,Ventura (Dandenong),843out_1
Endeavour Hills, ,Endeavour Hills SC,Ventura (Dandenong),843out_2
Dandenong, ,McCrae St,Ventura (Dandenong),844in
Doveton, ,McCrae St,Ventura (Dandenong),844out
Belgrave, ,Glenfern Rd,Ventura (Monbulk),699in_2
Epping Plaza SC, ,,Dysons,569out
Bundoora RMIT, ,,Dysons,570in
Thomastown, ,,Dysons,570out
South Morang Station, ,Findon Rd,Dysons,577in
Epping Plaza SC, ,Reservoir,Dysons,555in_1
Northland SC, ,Reservoir,Dysons,555out
Northland SC, ,Reservoir,Dysons,555out_1
Northland SC, ,Keon Park,Dysons,556in
Boronia, ,Ferntree Gully,Ventura (Lilydale),691o_2
Oakleigh, ,Ferntree Gully Rd,Ventura (Lilydale),693i_4
Oakleigh, ,Ferntree Gully Rd,Ventura (Lilydale),693i_5
Oakleigh, ,Ferntree Gully Rd,Ventura (Lilydale),693i_6
Blackburn, ,Glen Waverley,Ventura Bus Lines,736out
Croydon, ,Knox City SC,Ventura Bus Lines,737in
Croydon, ,Knox City SC,Ventura Bus Lines,737in_1
Croydon, ,Knox City SC,Ventura Bus Lines,737in_2
Osborne, ,Mornington,Ventura (Seaford),784out
Frankston, ,Mornington,Ventura (Seaford),785in
Mornington East, ,Mornington,Ventura (Seaford),785out
Rye, ,Dundas St,Ventura (Rosebud),786in
St Andrews Beach, ,Dundas St,Ventura (Rosebud),786out
Sorrento, ,Rosebud,Ventura (Rosebud),787in_2
Sorrento, ,Rosebud,Ventura (Rosebud),787in_5
Safety Beach, ,Rosebud,Ventura (Rosebud),787out_2_PP
Safety Beach, ,Rosebud,Ventura (Rosebud),787out_3_PP
Safety Beach, ,Rosebud,Ventura (Rosebud),787out_PP
Dandenong, ,John Fawkner Dr,Ventura (Dandenong),845in
Endeavour Hills, ,John Fawkner Dr,Ventura (Dandenong),845out
Epping Plaza SC, ,Keon Park,Dysons,556out
Thomastown, ,West Lalor,Dysons,557
Reservoir, ,North West Reservoir,Dysons,558am_1
Reservoir, ,North West Reservoir,Dysons,558am_2
Fairfield, ,Kew > Royal Talbot,Dysons,609in_1
Kew/Hawthorn, ,Royal Talbot > Kew,Dysons,609out
Kew/Hawthorn, ,Royal Talbot > Kew,Dysons,609out_1
Belgrave, ,Ferntree Gully Rd,Ventura (Lilydale),693o_1
Belgrave, ,Ferntree Gully Rd,Ventura (Lilydale),693o_2
Belgrave, ,Ferntree Gully Rd,Ventura (Lilydale),693o_3
Belgrave, ,Olinda,Ventura (Monbulk),694in
Mt Dandenong, ,Olinda,Ventura (Monbulk),694out
Croydon, ,Knox City SC,Ventura Bus Lines,737in_3
Monash University, ,Knox City SC,Ventura Bus Lines,737out
Monash University, ,Knox City SC,Ventura Bus Lines,737out_1
Monash University, ,Knox City SC,Ventura Bus Lines,737out_2
Dandenong, ,Patterson Lakes,Ventura (Dandenong),857in_2
Dandenong, ,Patterson Lakes,Ventura (Dandenong),857in_4
Chelsea, ,Patterson Lakes,Ventura (Dandenong),857out_1
Chelsea, ,Patterson Lakes,Ventura (Dandenong),857out_2
Chelsea, ,Patterson Lakes,Ventura (Dandenong),857out_3
Bentleigh, ,Mackie Rd,Ventura Bus Lines,701out_1
Bentleigh, ,Mackie Rd,Ventura Bus Lines,701out_s
Middle Brighton, ,Monash University,SmartBus Ventura,703in
Middle Brighton, ,Monash University,SmartBus Ventura,703in_1
Chadstone SC, ,Camberwell,CDC Eastrans,612in
Box Hill, ,Camberwell,CDC Eastrans,612out_1
Box Hill, ,Camberwell,CDC Eastrans,612out_2
St. Kilda, ,Chadstone SC,CDC Eastrans,623in
Belgrave, ,Emerald,Ventura (Monbulk),695in_2
Gembrook, ,Emerald,Ventura (Monbulk),695Fin_1
Gembrook, ,Emerald,Ventura (Monbulk),695Fin_2
Fountain Gate, ,Emerald,Ventura (Monbulk),695Fout_1
Monash University, ,Knox City SC,Ventura Bus Lines,737out_3
Mitcham, ,Wantirna,Ventura Bus Lines,738in
Knox City, ,Wantirna,Ventura Bus Lines,738out
Mitcham, ,Churinga Av,Ventura Bus Lines,740in
Elsternwick Station, ,Keysborough,Night Bus - Ventura Dandenong,979in
Dandenong, ,Keysborough,Night Bus - Ventura Dandenong,979out
Dandenong, ,Berwick,Night Bus - Ventura Dandenong,981in
Belgrave, ,Glenfern Rd,Ventura (Monbulk),699in_3
Upwey, ,Glenfern Rd,Ventura (Monbulk),699out_1
Upwey, ,Glenfern Rd,Ventura (Monbulk),699out_2
Upwey, ,Glenfern Rd,Ventura (Monbulk),699out_3
Oakleigh, ,Mackie Rd,Ventura Bus Lines,701in
Oakleigh, ,Mackie Rd,Ventura Bus Lines,701in_1
Bentleigh, ,Mackie Rd,Ventura Bus Lines,701out
Frankston, ,Seaford,Ventura (Seaford),780in
Carrum, ,Seaford,Ventura (Seaford),780out
Glen Waverley, ,Chadstone SC,CDC Eastrans,623out
Kew, ,Chadstone SC,CDC Eastrans,624in_1
Kew, ,Chadstone SC,CDC Eastrans,624in_2
Oakleigh, ,Chadstone SC,CDC Eastrans,624out_1
Fountain Gate, ,Emerald,Ventura (Monbulk),695Fout_2
Belgrave, ,Emerald,Ventura (Monbulk),695in_1
Gembrook, ,Emerald,Ventura (Monbulk),695out
Monbulk, ,Monbulk Rd,Ventura Bus Lines,696in
Chirnside Park SC, ,The Gateway,Ventura (Lilydale),677o_pb2
Ringwood, ,Montrose,Ventura (Lilydale),679i
Chirnside Park SC, ,Montrose,Ventura (Lilydale),679o
Lilydale, ,Lakeview Dr,Ventura (Lilydale),680i_1
Cranbourne, ,Berwick,Night Bus - Ventura Dandenong,981out
Dandenong, ,Endeavour Hills,Night Bus - Ventura Dandenong,982in
Cranbourne, ,Endeavour Hills,Night Bus - Ventura Dandenong,982out
City, ,,SkyBus,Skybus_in
Melbourne Airport, ,,SkyBus,Skybus_out
Knox City SC, ,Wallace Rd,Ventura Bus Lines,758in
Knox City SC, ,Wallace Rd,Ventura Bus Lines,758in_1
Knoxfield, ,Wallace Rd,Ventura Bus Lines,758out
Knoxfield, ,Wallace Rd,Ventura Bus Lines,758out_1
Mitcham, ,Forest Hill SC,Ventura Bus Lines,765in
Berwick Station, ,Bryn Mawr Bvd,Ventura (Pakenham),846in
Eden Rise SC, ,Bryn Mawr Bvd,Ventura (Pakenham),846out
Berwick Station, ,Casey Central SC,Ventura (Pakenham),847in
The Avenue Village SC, ,Casey Central SC,Ventura (Pakenham),847out
Dandenong, ,Waverley Gardens SC,Ventura (Dandenong),848in
Brandon Park SC, ,Waverley Gardens SC,Ventura (Dandenong),848out
Oakleigh, ,Chadstone SC,CDC Eastrans,624out_2
Epping Plaza SC, ,Findon Rd,Dysons,577out
Eltham, ,Research,Panorama,578in
Eltham, ,Research,Panorama,578in_1
Eltham, ,Research,Panorama,578in_1s
Mooroolbark, ,Lakeview Dr,Ventura (Lilydale),680o_2
Knox City SC (Clockwise), ,Rowville,Ventura (Lilydale),681
Knox City SC (Clockwise), ,Rowville,Ventura (Lilydale),681_1
Knox City SC (Anti-Clockwise), ,Rowville,Ventura (Lilydale),682
Knox City SC (Anti-Clockwise), ,Rowville,Ventura (Lilydale),682_1
Knox City SC (Anti-Clockwise), ,Rowville,Ventura (Lilydale),682_2
Chirnside Park SC, ,Warburton Hwy,Martyrs Bus Service,683in
Chirnside Park SC, ,Warburton Hwy,Martyrs Bus Service,683in_1
Warburton, ,Warburton Hwy,Martyrs Bus Service,683out
Warburton, ,Warburton Hwy,Martyrs Bus Service,683out_1
Eildon, ,Lilydale Station,McKenzies Tourist Service,684in
Melbourne, ,Lilydale Station,McKenzies Tourist Service,684out
Melbourne, ,Lilydale Station,McKenzies Tourist Service,684out_1
Healesville, ,Coldstream > Yarra Glen,McKenzies Tourist Service,685in_1
Healesville, ,Coldstream > Yarra Glen,McKenzies Tourist Service,685in_2
Healesville, ,Coldstream > Yarra Glen,McKenzies Tourist Service,685in_3
Healesville, ,Coldstream > Yarra Glen,McKenzies Tourist Service,685in_4
Lilydale, ,Yarra Glen > Coldstream,McKenzies Tourist Service,685out_1
Box Hill, ,Forest Hill SC,Ventura Bus Lines,765out
Box Hill, ,Forest Hill SC,Ventura Bus Lines,765out_1
Burwood, ,Surrey Hills,Ventura Bus Lines,766in
Burwood, ,Surrey Hills,Ventura Bus Lines,766in_s
Box Hill, ,Surrey Hills,Ventura Bus Lines,766out
Box Hill, ,Surrey Hills,Ventura Bus Lines,766out_s
Southland SC, ,Chadstone SC,Ventura Bus Lines,767in
Southland SC, ,Chadstone SC,Ventura Bus Lines,767in_s
Southland SC, ,Chadstone SC,Ventura Bus Lines,767in_s1
Southland SC, ,Chadstone SC,Ventura Bus Lines,767in_s2
Wantirna /  Boronia, ,,Ventura Bus Lines,745C
Wantirna /  Boronia, ,,Ventura Bus Lines,745D
Glen Waverley, ,Knoxfield,Ventura Bus Lines,753in
Glen Waverley, ,Knoxfield,Ventura Bus Lines,753in_1
Glen Waverley, ,Knoxfield,Ventura Bus Lines,753in_2
Bayswater, ,Knoxfield,Ventura Bus Lines,753out
Ringwood, ,Maroondah Hwy,Night Bus - Ventura,963in
Eltham, ,Research,Panorama,578in_1se
Eltham, ,Research,Panorama,578in_2
Eltham, ,Research,Panorama,578in_3
Warrandyte, ,Research,Panorama,578out
Warrandyte, ,Research,Panorama,578out_1
Warrandyte, ,Research,Panorama,578out_1s
Warrandyte, ,Research,Panorama,578out_2
Warrandyte, ,Research,Panorama,578out_3
Lilydale, ,Yarra Glen > Coldstream,McKenzies Tourist Service,685out_2
Lilydale, ,Yarra Glen > Coldstream,McKenzies Tourist Service,685out_3
Healesville, ,,McKenzies Tourist Service,686in
Healesville, ,,McKenzies Tourist Service,686in_1
Healesville, ,,McKenzies Tourist Service,686in_2
Healesville, ,,McKenzies Tourist Service,686in_3
Badger Creek, ,,McKenzies Tourist Service,686out
Badger Creek, ,,McKenzies Tourist Service,686out_1
Badger Creek, ,,McKenzies Tourist Service,686out_3
Chum Creek, ,,McKenzies Tourist Service,687in
Box Hill, ,Chadstone SC,Ventura Bus Lines,767out
Box Hill, ,Chadstone SC,Ventura Bus Lines,767out_1
Box Hill, ,Chadstone SC,Ventura Bus Lines,767out_2
Box Hill, ,Chadstone SC,Ventura Bus Lines,767out_3
Box Hill, ,Chadstone SC,Ventura Bus Lines,767out_s
Box Hill, ,Chadstone SC,Ventura Bus Lines,767out_s1
Frankston, ,Ashleigh Av,Ventura (Seaford),770in
Frankston, ,Ashleigh Av,Ventura (Seaford),770in_1
Lilydale, ,Maroondah Hwy,Night Bus - Ventura,963out
Croydon, ,Mt Everlyn,Night Bus - Ventura,964in
Lilydale, ,Mt Everlyn,Night Bus - Ventura,964out
Healesville, ,Woori Yallock > Healesville(ACW),Night Bus - McKenzies,965in
Healesville, ,Healesville > Woori Yallock (CW),Night Bus - McKenzies,965out
City, ,Doncaster Rd,Night Bus - Ventura,966in
Box Hill, ,Docaster Rd,Night Bus - Ventura,966out
Glen Waverley, ,Knox City,Night Bus - Ventura,967in
Bayswater, ,Knox City,Night Bus - Ventura,967out
City, ,Caufield,Night Bus - Ventura,969in
Warrandyte, ,Research,Panorama,578out_3s
Warrandyte, ,Research,Panorama,578out_3s2
Warrandyte, ,Research,Panorama,578out_4
Eltham, ,Research,Panorama,579in
Eltham, ,Research,Panorama,579in_1
Eltham, ,Research,Panorama,579in_2
Eltham, ,Research,Panorama,579in_3
Healesville, ,,McKenzies Tourist Service,687out
Croydon, ,Olinda,Ventura Bus Lines,688in_1
Croydon, ,Olinda,Ventura Bus Lines,688in_2
Croydon, ,Olinda,Ventura Bus Lines,688in_3
Croydon, ,Olinda,Ventura Bus Lines,688in_4
Upper Ferntree Gully, ,Olinda,Ventura Bus Lines,688out_1
Upper Ferntree Gully, ,Olinda,Ventura Bus Lines,688out_2
Upper Ferntree Gully, ,Olinda,Ventura Bus Lines,688out_4
Upper Ferntree Gully, ,Olinda,Ventura Bus Lines,688out_5
Berwick Station, ,Casey Hospital,Ventura (Pakenham),831in
Kingsmere Estate, ,Casey Hospital,Ventura (Pakenham),831out
Frankston, ,McCormicks Rd,Ventura (Seaford),832in
Carrum Downs, ,McCormicks Rd,Ventura (Seaford),832out
Frankston, ,Lyrebird Dr,Ventura (Seaford),833in
Karingal, ,Ashleigh Av,Ventura (Seaford),770out
Karingal, ,Ashleigh Av,Ventura (Seaford),770out_1
Karingal, ,Ashleigh Av,Ventura (Seaford),770out_2
Frankston, ,McMahon Rd,Ventura (Seaford),771in
Langwarrin, ,McMahon Rd,Ventura (Seaford),771out
Frankston, ,Moorooduc Hwy,Ventura (Seaford),772in
Eliza Heights, ,Overport Rd,Ventura (Seaford),772out
Eliza Heights, ,Overport Rd,Ventura (Seaford),772o_A
Frankston, ,Kars St,Ventura (Seaford),773in
Frankston, ,Kars St,Ventura (Seaford),773in_C
City, ,Caufield,Night Bus - Ventura,969in_1
Ringwood, ,Caufield,Night Bus - Ventura,969out
Carrum, ,Frankston,Night Bus - Ventura Dandenong,970in
Rosebud, ,Frankston,Night Bus - Ventura Dandenong,970out
Elsternwick Station, ,Huntingdale,Night Bus - Ventura Dandenong,978in
Dandenong, ,Huntingdale,Night Bus - Ventura Dandenong,978out
Eltham, ,Research,Panorama,579in_4
Warrandyte, ,Research,Panorama,579out
Warrandyte, ,Research,Panorama,579out_1
Warrandyte, ,Research,Panorama,579out_2
Warrandyte, ,Research,Panorama,579out_3
Warrandyte, ,Research,Panorama,579out_4
Warrandyte, ,Research,Panorama,579out_5
Eltham, ,Ryans Rd,Panorama,580in
Diamond Creek, ,Ryans Rd,Panorama,580out
Eltham Station, ,,Panorama,582in
Springvale, ,Wanda St,Ventura (Dandenong),885out
Rosebud, ,Boneo Rd,Ventura (Rosebud),886in
Chisholm TAFE Rosebud Campus, ,Boneo Rd,Ventura (Rosebud),886out
Monash University (Peninsula Campus), ,,Ventura (Rosebud),887in
Rosebud, ,,Ventura (Rosebud),887out
Lynbrook Station, ,Dandenong South,Cranbourne Transit,890in
Dandenong Station, ,Dandenong South,Cranbourne Transit,890out
Fountain Gate SC, ,Hallam Station,Cranbourne Transit,891in
Lynbrook Station, ,Hallam Station,Cranbourne Transit,891out
