Theme,icon,subtheme,Name,Longitude,Latitude
Place of Worship,religious-christian,Church,St Patricks Cathedral,144.9759015,-37.8101141
Museum,museum,Art Gallery/Museum,Victorian Arts Centre,144.9688373,-37.82199473
Office,industry,Office,Parliament House,144.9737264,-37.81124666
Community Use,town-hall,Public Buildings,Melbourne Town Hall,144.9665427,-37.81507548
Office,industry,Office,Former Royal Mint,144.9570555,-37.81218387
Leisure,skiing,Informal Outdoor Facility Park/Garden/Reserve,Queen Victoria Gardens,144.9710495,-37.82163812
Community Use,town-hall,Public Buildings,Sidney Myer Music Bowl,144.9746862,-37.82334716
Casino,casino,Casino,Crown Entertainment Complex,144.9573129,-37.82357611
Health Services,hospital,Public Hospital,The Royal Victorian Eye & Ear Hospital,144.9762683,-37.80875228
Office,industry,Office,SBS Special Broadcasting Service,144.9687406,-37.81769212
Museum,museum,Art Gallery/Museum,The Ian Potter Centre: NGV Australia,144.969899,-37.81748314
Leisure,skiing,Informal Outdoor Facility Park/Garden/Reserve,Federation Square,144.9689636,-37.81785166
Museum,museum,Art Gallery/Museum,Thoroughbred Racing Gallery,144.9839701,-37.81886627
Leisure,skiing,Informal Outdoor Facility Park/Garden/Reserve,New Quay,144.9416179,-37.81521788
Leisure,skiing,Informal Outdoor Facility Park/Garden/Reserve,Docklands Park,144.9467817,-37.82099568
Leisure,skiing,Major Sports & Recreation Facility,AAMI Park,144.983803,-37.82472527
Place Of Assembly,landmark,Function/Conference/Exhibition Centre,Central Pier,144.943475,-37.81651773
Leisure,skiing,Observation Tower/Wheel,Melbourne Star Observation Wheel,144.9375889,-37.81161637
Leisure,skiing,Informal Outdoor Facility Park/Garden/Reserve,Point Park,144.9421023,-37.82335227
Education Centre,college,Primary Schools,Kensington Primary School,144.9271087,-37.7925235
Leisure,skiing,Informal Outdoor Facility Park/Garden/Reserve,Newmarket Reserve,144.9229721,-37.78784733
Health Services,hospital,Public Hospital,Royal Womens Hospital,144.9548973,-37.79888925
Education Centre,college,Further Education,Kangan Batman Tafe,144.9489085,-37.82218182
Museum,museum,Art Gallery/Museum,Fox Classic Car Collection,144.9484967,-37.82137443
Residential Accommodation,lodging,Hostel,The Mission To Seafarers Victoria,144.9512548,-37.8224996
Leisure,skiing,"Outdoor Recreation Facility Zoo, Golf Course",Wonderland Park,144.9368337,-37.81169454
